Protocol,Eligible participants,Eligible %,Valid day rows,Mean participant daily MIMS
wake_wear_10h_min4,807,91.91344,5553,11567.603003
wake_wear_12h_min4,722,82.232346,4824,12201.537613
valid_minutes_20h_min4,862,98.177677,6111,10827.114119
