Protocol,Eligible participants,Eligible %,Valid day rows,Mean participant daily MIMS,Mean participant peak-30 valid MIMS,Interpretation limit
wake_wear_10h_min4,807,91.91344,5553,11567.603003,814.698825,"Movement-summary sensitivity only; not MVPA, sedentary, active/inactive, or clinical physical activity classification."
wake_wear_12h_min4,722,82.232346,4824,12201.537613,836.718342,"Movement-summary sensitivity only; not MVPA, sedentary, active/inactive, or clinical physical activity classification."
valid_minutes_20h_min4,862,98.177677,6111,10827.114119,781.146019,"Movement-summary sensitivity only; not MVPA, sedentary, active/inactive, or clinical physical activity classification."
