protocol_id,approved_status,classification_type,valid_day_expression,min_valid_days,observed_participants,eligible_participants,eligible_percent,valid_day_rows,interpretation_limit,daily_mims_valid_day_n,daily_mims_valid_day_mean,daily_mims_valid_day_median,daily_mims_valid_day_q1,daily_mims_valid_day_q3,daily_mims_valid_day_min,daily_mims_valid_day_max,participant_mean_daily_mims_n,participant_mean_daily_mims_mean,participant_mean_daily_mims_median,participant_mean_daily_mims_q1,participant_mean_daily_mims_q3,participant_mean_daily_mims_min,participant_mean_daily_mims_max,participant_mean_peak30_valid_mims_n,participant_mean_peak30_valid_mims_mean,participant_mean_peak30_valid_mims_median,participant_mean_peak30_valid_mims_q1,participant_mean_peak30_valid_mims_q3,participant_mean_peak30_valid_mims_min,participant_mean_peak30_valid_mims_max,participant_mean_valid_minutes_n,participant_mean_valid_minutes_mean,participant_mean_valid_minutes_median,participant_mean_valid_minutes_q1,participant_mean_valid_minutes_q3,participant_mean_valid_minutes_min,participant_mean_valid_minutes_max,participant_mean_wake_wear_minutes_n,participant_mean_wake_wear_minutes_mean,participant_mean_wake_wear_minutes_median,participant_mean_wake_wear_minutes_q1,participant_mean_wake_wear_minutes_q3,participant_mean_wake_wear_minutes_min,participant_mean_wake_wear_minutes_max
wake_wear_10h_min4,approved_completeness_rule,candidate completeness rule,PAXWWMD >= 600,4,878,807,91.91344,5553,"Movement-summary sensitivity only; not MVPA, sedentary, active/inactive, or clinical physical activity classification.",5553,11632.185142,11102.942,8803.428,13966.663,2435.407,30811.319,807,11567.603003,11230.862,9077.625714,13819.275286,3943.783,27162.915667,807,814.698825,789.800875,681.398429,918.828214,322.154333,4211.752571,807,1428.756029,1440.0,1439.5,1440.0,1252.5,1440.0,807,868.756144,875.5,799.5,932.071429,628.8,1142.285714
wake_wear_12h_min4,approved_sensitivity_rule,sensitivity completeness rule,PAXWWMD >= 720,4,878,722,82.232346,4824,"Movement-summary sensitivity only; not MVPA, sedentary, active/inactive, or clinical physical activity classification.",4824,12215.703674,11723.261,9462.31375,14441.755,3493.512,30811.319,722,12201.537613,11723.614893,9822.727411,14361.755143,4780.491667,27162.915667,722,836.718342,806.6455,703.642375,933.670107,322.154333,4215.050333,722,1439.184786,1440.0,1439.571429,1440.0,1313.0,1440.0,722,901.562421,899.714286,847.875,949.785714,741.0,1142.285714
valid_minutes_20h_min4,approved_24h_completeness_rule,24-hour completeness rule,PAXVMD >= 1200,4,878,862,98.177677,6111,"Movement-summary sensitivity only; not MVPA, sedentary, active/inactive, or clinical physical activity classification.",6111,10830.5363,10589.095,7880.165,13554.1475,0.0,30811.319,862,10827.114119,10680.978563,8369.850357,13141.675679,358.504714,23309.369714,862,781.146019,764.572929,648.109143,889.925821,28.862571,4211.752571,862,1437.997082,1440.0,1439.571429,1440.0,1402.75,1440.0,862,817.027769,846.142857,751.90625,923.142857,23.857143,1142.285714
